"AID","GSWGT4_2"
"90572209",6119.119572801
"90572213",3708.481674726
"90572221",2377.584325961
"90572228",1677.524720509
"90572265",4688.930165193
"90572268",4297.402483045
"90572269",3831.699531173
"90572280",868.87110363
"90572282",707.881146358
"90572283",868.87110363
"90572285",707.881146358
"90572293",3275.397523006
"90572303",4559.000751538
"90572323",1741.1316361
"90572341",5212.148166111
"90572384",1457.191835047
"90572393",2060.74931479
"90572397",1969.469018556
"90572448",5081.134461243
"90572469",4297.402483045
"90572667",4192.364162881
"90572862",4737.670934375
"90572864",7819.42904763
"90572900",4768.327980166
"90572909",6119.119572801
"90572920",2946.231107729
"90572925",2377.584325961
"90572940",5212.148166111
"90572974",4058.499341762
"90572983",1135.378314419
"90572984",988.926006963
"90572991",1970.498467062
"90572998",2060.74931479
"90573011",1909.818414867
"90573013",2248.107155173
"90573117",1797.971346098
"90573194",5099.426933851
"90573212",3850.820386516
"90573217",1909.818414867
"90573409",4664.162098989
"90573491",4320.873848054
"90573618",2712.154640363
"90573818",4022.828894407
"90573819",2510.255652486
"90573940",2872.879164435
"90573941",2595.709097552
"90573945",3112.956759218
"90573946",2924.513990467
"90573954",3139.744171313
"90573956",3475.006355653
"90573959",3462.948817255
"90573992",5423.665029037
"90573994",8853.835180774
"90574133",5353.293404143
"90574145",5157.769547352
"90574197",7478.93266767
"90574204",4148.665444835
"90574205",6368.58487734
"90574307",699.503388894
"90574335",4693.343971212
"90574392",4989.728266509
"90574415",9147.536974239
"90574489",5976.0514921
"90574494",4854.806320552
"90574499",4854.806320552
"90574503",7082.006707733
"90574538",3452.362480791
"90574742",3927.174306767
"90574744",6890.744917888
"90574805",708.535707978
"90574817",4547.879056461
"90574835",3339.401266132
"90574884",8222.85604852
"90574890",4568.827538069
"90574918",1472.375219493
"90574935",1612.943030904
"90574992",5595.021180114
"90575005",3111.148241807
"90575111",4255.692733808
"90575118",4863.62367717
"90575126",1358.46555532
"90575131",2923.563707383
"90575158",3367.336697916
"90575167",3903.098651087
"90575205",2925.002984167
"90575207",3701.959792002
"90575210",3173.268091322
"90575229",2028.777069616
"90575231",2399.221083886
