"AID","ResidentMotherPresence","ResidentFatherPresence","ResidentBiologicalParents","ParentMarried","ParentPartnered","HouseholdSize","NumberSiblings","BirthOrder","ParentAge","MotherEducation","FatherEducation","MotherOccupationPrestige","FatherOccupationPrestige","MotherWorkForPay","FatherWorkForPay","FamilyIncome","PublicAssistance","Welfare","EconomicHardship","FamilySocialSupport","SharedDinner","IntergenerationalClosure","ParentConnectionFriends","MotherRelationshipQuality","FatherRelationshipQuality","MotherSharedActivity","FatherSharedActivity","ParentPartnerRelationship","ParentControl","MotherSupervision","FatherSupervision","MotherInvolveSchool","FatherInvolveSchool","ParentPTA","ParentFundRaise","ParentMetTeacher","MotherEducationExpectation","FatherEducationExpectation","MotherNativity","FatherNativity","ParentYearsInUS","ParentReligiosity","EnglishHome","ParentHealth","ParentSmoke","MotherAlcoholic","FatherAlcoholic","MotherObese","FatherObese","MotherDisable","FatherDisable","SmokerHousehold","DrugHousehold","FamilyAccessMedicalCare","ParentPreviousRelationship","NonresidentBioFatherDeceased","YearsLiveStepfather","BornToAdolescentParent","Sex","Age","Latinx","Black","NativeAmerican","AAPI","OtherRace","EmotionalAbuse","PhysicalAbuse","BioMotherIncarceration","BioFatherIncarceration","EducationAttainment"
"92572919",1,0,0,0,1,3,1,1,36,10,13.36908,1,3.347201,0,0.929593,1.6094379124341,0,1,1,4.25,7,1,3,4.2,4.243704,2,2.910392,-1.04468783743009,4,3,1.100092,1,1.068472,0,NA,NA,3,4.363035,1,0.8700154,36,2.5,1,2,1,0,0.06048632,0,0.1127865,1,0.05724351,1,0,2,4,1,7.569198,0,0,15.6666666666667,0,0,0,0,0,0,0,0,2,12
"92572963",1,1,1,1,1,3,1,2,43,16,13,5,3,1,1,3.61091791264422,0,0,0,3.75,2,0,3,4.4,4.4,4,2,0.131756333573896,1,3,2,1,1,0,NA,NA,4.5,5,1,1,43,3,1,3,0,0,0,0,0,0,1,1,0,4,1,0.7259314,7.569198,0,0,17.6666666666667,0,0,0,0,0,0,0,0,0,14
"92572983",1,1,1,1,1,3,1,1,41,12,12,5,5,1,1,NA,0,0,0,4.75,7,2,3,4.8,5,7,6,0.532608135940035,0,3,1,3,3,1,1,1,3,5,1,1,41,4,1,5,0,0,0,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,1,12.9166666666667,0,0,0,0,0,0,0,0,0,14
"92572986",1,1,1,1,1,3,1,1,42,12,12,2,5,1,1,NA,0,0,0,4,5,4,6,4.4,4.4,5,5,0.532608135940035,2,3,2,2,2,0,0,1,5,5,1,1,42,4,1,4,0,0,0,0,0,0,0,1,0,3,1,0.7259314,7.569198,0,0,15.1666666666667,0,0,0,0,0,0,0,0,0,16
"92572989",0,0,0,NA,NA,2,0,2,NA,13.22558,13.36908,3.350598,3.347201,0.7734247,0.929593,NA,NA,NA,NA,4,4.608819,NA,NA,4.430109,4.243704,3.951984,2.910392,NA,1.807349,2.090406,1.100092,1.280745,1.068472,NA,NA,NA,4.341575,4.363035,0.8798627,0.8700154,NA,NA,1,NA,NA,0.0141125,0.06048632,0.1901437,0.1127865,0.04313021,0.05724351,NA,0,NA,NA,1,7.569198,NA,0,17.8333333333333,0,0,0,0,0,0,0,0,0,13
"92573004",1,1,1,1,1,3,1,1,35,8,10,3,3,1,1,4.00733318523247,0,0,0,4.25,7,2,3,4.8,3.2,3,2,0.131756333573896,1,3,1,2,2,0,0,0,1.5,1.5,0,0,35,4,0,4,0,0,0,0,0,0,0,0,0,3,1,0.7259314,7.569198,0,1,16.5833333333333,1,0,0,0,1,2,0,0,0,14
"92573010",1,1,1,1,0,3,1,1,44,13,17,2,5,0,1,4.18965474202643,0,0,0,4.25,7,0,6,4.8,4.4,3,3,-0.0005413742,2,3,2,0,0,0,0,1,5,5,1,1,44,3,1,5,0,0,0,0,1,0,0,0,0,4,0,0.7259314,7.569198,0,0,14.0833333333333,0,0,0,0,0,5,4,0,0,17
"92573096",1,1,1,1,1,3,1,1,35,12,12,5,3,1,1,4.11087386417331,0,0,0,4.25,3,2,5,4.4,3.6,4,0,-0.329350225757261,0,2,1,2,0,0,1,0,1,1.5,1,1,35,2,1,3,1,0,0,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,1,16.1666666666667,0,1,0,0,0,0,0,0,0,16
"92573136",1,0,0,0,0,1,0,1,51,16,13.36908,5,3.347201,1,0.929593,3.04452243772342,0,0,1,4,7,3,6,4.6,4.243704,2,2.910392,-0.0005413742,1,3,1.100092,0,1.068472,1,1,1,5,4.363035,1,0.8700154,51,4,1,3,0,NA,0.06048632,NA,0.1127865,0,0.05724351,0,0,3,2,0,7.569198,NA,0,17.4166666666667,0,0,0,0,0,0,0,0,NA,13
"92573194",1,0,0,0,0,4,2,1,34,14,13.36908,2,3.347201,0,0.929593,3.36729582998647,0,0,0,3.75,7,0,3,4.4,4.243704,1,2.910392,-0.0005413742,1,2,1.100092,0,1.068472,0,0,1,5,4.363035,0,0.8700154,8.91666666666667,2,1,4,0,NA,0.06048632,NA,0.1127865,0,0.05724351,0,0,4,0,1,7.569198,NA,1,17.6666666666667,1,0,0,0,0,1,0,0,0,16
"92573211",1,0,0,1,1,6,0,1,34,12,13.36908,5,3.347201,1,0.929593,NA,0,0,0,3.75,3,2,6,4.8,4.243704,5,2.910392,0.532608135940035,4,2,1.100092,2,1.068472,0,NA,NA,3.5,4.363035,1,0.8700154,34,2.5,1,5,1,0,0.06048632,0,0.1127865,0,0.05724351,1,0,4,3,1,7.569198,0,0,14.3333333333333,0,0,0,0,0,1,1,0,1,8
